Angle,Intensity
20.059926679,1501.0
20.086187244,1604.0
20.112447809,1535.0
20.138708374,1580.0
20.164968939,1530.0
20.191229504,1584.0
20.217490069,1563.0
20.243750634,1592.0
20.270011199,1582.0
20.296271764,1691.0
20.322532329,1775.0
20.348792894,1769.0
20.375053459,1712.0
20.401314024,1748.0
20.427574589,1598.0
20.453835154,1586.0
20.480095719,1503.0
20.506356284,1484.0
20.532616849,1488.0
20.558877414,1562.0
20.585137979,1477.0
20.611398544,1464.0
20.637659109,1513.0
20.663919674,1525.0
20.690180239,1501.0
20.716440804,1540.0
20.742701369,1483.0
20.768961934,1453.0
20.795222499,1534.0
20.821483064,1519.0
20.847743629,1494.0
20.874004194,1521.0
20.900264759,1543.0
20.926525324,1565.0
20.952785889,1539.0
20.979046454,1508.0
21.005307019,1588.0
21.031567584,1452.0
21.057828149,1521.0
21.084088714,1622.0
21.110349279,1626.0
21.136609844,1605.0
21.162870409,1574.0
21.189130974,1551.0
21.215391539,1451.0
21.241652104,1528.0
21.267912669,1478.0
21.294173234,1450.0
21.320433799,1504.0
21.346694364,1353.0
21.372954929,1481.0
21.399215494,1382.0
21.425476059,1508.0
21.451736624,1461.0
21.477997189,1412.0
21.504257754,1487.0
21.530518319,1381.0
21.556778884,1402.0
21.583039449,1460.0
21.609300014,1502.0
21.635560579,1515.0
21.661821144,1461.0
21.688081709,1542.0
21.714342274,1430.0
21.740602839,1491.0
21.766863404,1562.0
21.793123969,1469.0
21.819384534,1539.0
21.845645099,1478.0
21.871905664,1498.0
21.898166229,1378.0
21.924426794,1443.0
21.950687359,1533.0
21.976947924,1481.0
22.003208489,1452.0
22.029469054,1438.0
22.055729619,1480.0
22.081990184,1493.0
22.108250749,1440.0
22.134511314,1452.0
22.160771879,1503.0
22.187032444,1399.0
22.213293009,1430.0
22.239553574,1507.0
22.265814139,1424.0
22.292074704,1459.0
22.318335269,1385.0
22.344595834,1411.0
22.370856399,1462.0
22.397116964,1451.0
22.423377529,1482.0
22.449638094,1442.0
22.475898659,1472.0
